sigma,fitness,word1,word2,word3,theta12,theta13,theta23,census_idx,manifold,volume,homology
0.3,0.346386,aBBB,AAAb,AbAb,14.79,23.54,8.89,57,m015,2.1031,Z/3
0.3,0.346872,ABAB,bAAA,BBAB,17.52,23.74,6.23,157,m032,2.62941,0
0.3,0.34969,aBab,baab,Baaa,17.55,23.95,6.44,139,m117,2.56897,Z/12
0.3,0.351924,ba,aaab,aabb,17.05,23.84,7.18,144,m036,2.57516,Z/57
0.3,0.352192,abAb,abbb,bABA,18.13,23.68,5.58,81,m016,2.27263,Z/52
0.3,0.355163,BB,abaa,BBBA,18.0,23.4,5.79,83,m015,2.27263,Z/4
0.3,0.356152,Baaa,BAba,BBAB,17.5,24.19,6.97,97,m016,2.35221,Z/73
0.3,0.356777,AAAA,Abbb,BBAA,16.2,24.58,8.48,60,m015,2.11457,Z/7
0.3,0.357036,aabb,AAba,bbAA,17.3,24.67,7.37,170,m135,2.66674,Z/2 + Z/4 + Z/4
0.3,0.357069,aaa,abab,baBB,17.7,24.47,6.84,105,m019,2.38034,Z/41
0.3,0.357132,aB,ABab,bAAb,16.32,24.65,8.39,107,m019,2.42559,Z/50
0.3,0.357229,aBBa,AAAA,BAbb,16.85,24.72,7.88,85,m011,2.27578,Z/49
0.3,0.357431,BAB,aBaa,bbbA,17.27,24.12,7.31,45,m015,2.02988,Z/8
0.3,0.357811,ABAb,ABBA,BBaB,16.9,23.62,7.58,78,m015,2.22672,Z/9
0.3,0.358016,ABaB,babb,BAbb,17.01,24.11,7.65,64,m016,2.13402,Z/14
0.3,0.358253,AAA,AABa,BAba,16.07,24.72,8.67,172,m168,2.66674,Z/2 + Z/8
0.3,0.358483,aaaB,baBA,BabA,18.32,24.04,5.86,26,m007,1.84359,Z/6
0.3,0.358509,aaaB,aBBB,BAba,16.28,24.77,8.5,150,m036,2.60954,Z/51
0.3,0.358875,BB,Abbb,bbba,16.81,24.79,8.02,28,m016,1.88541,Z/39
0.3,0.358944,baB,BAb,AAba,16.16,24.28,8.61,113,m036,2.46823,Z/3 + Z/9
0.3,0.359047,abab,aBBB,babA,18.31,24.34,6.04,185,m081,2.77252,Z/59
0.3,0.359069,BA,abAB,Abbb,17.95,24.59,6.65,134,m120,2.56897,Z/12
0.3,0.359518,aBAA,bbbA,BBBa,17.98,24.59,6.62,46,m016,2.02988,Z/56
0.3,0.359602,BBA,abAb,aBaB,15.82,24.47,8.96,156,m036,2.62857,Z/3
0.3,0.359631,BAA,BAb,AAAB,16.9,24.87,7.98,182,m116,2.75896,Z/7
0.3,0.359905,bAB,aaaa,aBAB,14.94,24.41,9.55,100,m015,2.3627,Z/10
0.35,0.359953,aBab,baBA,Baba,20.96,28.76,7.8,152,m033,2.60954,Z/72
0.3,0.360146,AAba,ABBA,bbAb,18.46,23.69,5.52,161,m149,2.64476,Z/30
0.3,0.360895,bAb,BBB,AbAA,17.01,24.9,7.93,109,m019,2.44441,Z/27
0.3,0.360953,AB,AbAb,bbaB,17.68,24.82,7.16,91,m017,2.31881,Z/7 + Z/7
0.3,0.360976,aBBa,AbAB,bbaa,17.67,24.23,7.02,76,m011,2.21095,Z/23
0.3,0.360996,BA,BABB,BBAB,15.58,24.73,9.19,148,m160,2.59539,Z/3 + Z/9
0.3,0.361076,bA,AAB,aBAA,17.91,24.76,6.86,147,m030,2.58548,Z/7 + Z/7
0.3,0.361276,Ab,BAB,babb,16.68,24.51,8.26,24,m011,1.83193,Z/14
0.3,0.361735,AABa,bAAA,BAAb,16.85,24.97,8.14,137,m036,2.56897,Z/60
0.35,0.361985,abAA,aBAb,BBAA,19.08,29.08,10.07,50,m010,2.02988,Z/6 + Z/6
0.3,0.362142,aBab,BaBA,BBBB,17.01,24.4,7.93,181,m120,2.71246,0
0.3,0.362649,ABab,bAbA,BaaB,17.86,24.63,6.98,128,m038,2.54955,Z/13
0.3,0.362851,BBB,babb,BAAB,17.63,24.89,7.34,126,m030,2.5303,Z/63
0.3,0.362986,bb,Abbb,BAAA,17.87,24.34,6.91,53,m016,2.05848,Z/22
0.3,0.363318,Aba,bab,AbAA,18.66,24.13,5.63,80,m015,2.26624,Z/9
0.3,0.363664,Ba,aBaa,bAAA,17.58,24.93,7.45,168,m140,2.66674,Z/2 + Z/6
0.3,0.363746,aba,aaba,AABA,18.74,23.22,4.85,108,m022,2.42559,Z/14
0.3,0.363814,aBAb,aBBB,BABA,18.18,24.82,6.65,179,m069,2.69548,Z/39
0.3,0.363896,Ab,aBAB,bbbA,18.13,23.23,5.95,124,m032,2.52742,Z/4
0.3,0.364046,bba,bbb,BAB,17.0,24.79,8.11,95,m016,2.34302,Z/58
0.35,0.364702,abA,AAbA,babA,20.92,29.16,8.25,127,m023,2.54159,Z/3 + Z/3
0.3,0.364938,BA,aaB,AAA,18.6,24.59,6.04,180,m030,2.70678,Z/77
0.3,0.365059,baaa,BBAb,BBBA,16.41,24.92,8.75,106,m022,2.42246,Z/7
1.15,0.365224,bAA,Abaa,baBA,69.07,89.9,24.4,176,m034,2.67948,Z/2
